Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.91,-0.96,2.97,11.5,196.52,8.5,22.5,146.92,-0.91,7.51,2
3.73,-1.23,2.76,11.5,197.34,8.6,22.5,145.9,-0.91,7.74,2
3.76,-1.13,2.55,11.5,165.29,8.8,22.5,146.55,-0.93,6.37,0
3.96,-0.7,2.55,11.54,141.97,8.9,22.5,146.53,-0.94,5.2,0
4.1,-0.35,2.72,11.63,159.99,8.9,22.5,148.28,-1.05,5.54,2
4.11,-0.33,2.87,11.7,195.79,8.8,22.5,148.2,-1.08,6.77,2
4.12,-0.38,2.88,11.7,193.75,8.9,22.5,149.96,-1.05,6.71,2
4.15,-0.33,2.78,11.7,182.38,8.8,22.5,148.6,-1.05,6.34,2
4.17,-0.21,2.8,11.7,197.23,8.9,22.5,148.52,-1.03,6.7,2
4.16,-0.2,2.89,11.77,194.07,8.9,22.5,149.66,-0.98,6.52,2
4.16,-0.2,2.9,11.8,196.52,8.8,22.5,150.56,-1.0,6.56,2
4.14,-0.32,2.94,11.81,194.08,8.8,22.5,149.74,-1.04,6.68,2
4.11,-0.32,2.8,11.83,197.48,9.0,22.5,150.0,-1.08,6.73,2
4.08,-0.3,2.82,11.9,194.59,9.1,22.5,151.8,-1.08,6.47,2
4.03,-0.33,2.89,11.9,194.57,9.0,22.5,151.12,-1.09,6.47,2
3.97,-0.47,2.94,11.8,198.24,8.8,22.5,150.54,-1.04,6.74,2
3.93,-0.59,2.81,11.7,194.52,8.8,22.5,149.12,-0.95,6.8,2
3.9,-0.53,2.79,11.59,197.98,8.9,22.5,147.72,-0.81,6.84,2
3.87,-0.6,2.84,11.44,192.99,8.6,22.5,145.59,-0.67,6.83,2
3.86,-0.65,2.85,11.24,197.63,8.5,22.5,143.88,-0.5,7.15,2
3.78,-0.89,2.97,10.94,193.39,8.1,22.5,141.5,-0.23,7.36,2
3.56,-1.3,2.88,10.8,198.98,7.9,22.5,138.14,-0.04,8.07,2
3.45,-1.5,2.66,10.8,193.42,8.0,22.5,137.72,-0.02,8.02,2
3.6,-1.21,2.5,10.84,142.66,8.2,22.5,138.12,-0.1,5.73,0
3.79,-0.83,2.64,10.9,141.95,8.3,22.5,140.44,-0.12,5.39,2
3.86,-0.67,2.72,11.0,179.44,8.3,22.5,140.52,-0.13,6.67,2
3.87,-0.6,2.76,11.0,193.24,8.1,22.5,141.1,-0.12,7.06,2
3.88,-0.6,2.76,11.04,197.96,8.2,22.5,142.0,-0.12,7.2,2
3.9,-0.6,2.8,11.1,193.77,8.2,22.5,141.02,-0.1,7.12,2
3.9,-0.6,2.78,11.1,192.74,8.3,22.5,140.92,-0.1,7.09,2
3.89,-0.6,2.81,11.09,197.59,8.3,22.5,141.8,-0.08,7.22,2
3.89,-0.6,2.79,11.03,194.05,8.3,22.5,140.84,0.01,7.13,2
3.89,-0.6,2.79,11.03,198.6,8.2,22.5,140.8,-0.07,7.3,2
3.87,-0.61,2.79,11.1,194.08,8.3,22.5,141.22,-0.07,7.1,2
3.85,-0.7,2.84,11.1,196.45,8.2,22.5,141.43,-0.08,7.29,2
3.85,-0.7,2.79,11.11,193.59,8.3,22.5,142.92,-0.11,7.11,2
3.91,-0.67,2.73,11.1,198.85,8.3,22.5,141.42,0.0,7.42,2
4.0,-0.51,2.74,11.12,194.2,8.4,22.5,141.76,-0.08,7.12,2
4.13,-0.32,2.82,11.22,197.29,8.4,22.5,143.22,-0.19,7.07,2
4.34,-0.18,2.87,11.3,193.23,8.6,22.5,144.76,-0.23,6.94,2
4.45,-0.34,3.08,11.3,198.16,8.4,22.5,143.78,-0.19,7.61,2
4.07,-1.16,3.24,11.13,193.66,8.0,22.5,141.96,0.03,8.23,2
3.43,-2.06,2.91,11.02,180.41,8.0,22.5,140.62,0.14,8.12,2
3.11,-2.25,2.5,11.06,141.96,8.4,22.5,141.24,0.07,6.21,0
3.23,-1.87,2.38,11.07,120.58,8.8,22.5,140.44,0.01,5.05,0
3.44,-1.36,2.43,11.0,118.39,8.6,22.5,140.98,0.08,4.65,0
3.54,-1.2,2.68,11.1,173.56,8.5,22.5,142.76,-0.07,6.64,0
3.57,-1.12,2.66,11.2,182.17,8.4,22.5,143.42,-0.16,6.85,2
3.62,-1.06,2.7,11.32,180.03,8.6,22.5,144.16,-0.15,6.74,0
3.69,-0.96,2.68,11.22,181.1,8.7,22.5,143.98,-0.01,6.74,0
3.75,-0.85,2.74,11.18,180.27,8.4,22.5,143.1,0.04,6.68,2
3.79,-0.8,2.74,11.24,179.82,8.4,22.5,142.52,-0.08,6.67,2
3.79,-0.79,2.75,11.1,179.01,8.4,22.5,141.52,0.05,6.68,2
3.81,-0.72,2.8,11.1,180.37,8.3,22.5,142.22,-0.02,6.63,2
3.82,-0.76,2.83,11.1,185.07,8.3,22.5,142.58,0.01,6.85,2
3.8,-0.8,2.76,11.18,196.79,8.3,22.5,143.22,-0.05,7.28,2
3.79,-0.8,2.72,11.2,196.26,8.5,22.5,142.33,-0.04,7.3,2
3.89,-0.66,2.73,11.22,185.03,8.4,22.5,143.84,0.01,6.75,2
3.99,-0.63,2.88,11.35,191.22,8.6,22.5,145.16,-0.1,7.01,2
3.91,-0.95,3.03,11.35,194.07,8.5,22.5,144.32,-0.07,7.54,2
3.56,-1.62,2.95,11.24,185.77,8.1,22.5,143.52,0.05,7.73,2
3.31,-1.89,2.57,11.27,178.63,8.6,22.5,143.84,0.01,7.45,0
3.43,-1.55,2.39,11.25,132.33,8.7,22.5,143.7,0.08,5.28,0
3.65,-1.04,2.54,11.36,118.96,8.8,22.5,145.4,-0.05,4.43,0
3.74,-0.86,2.72,11.21,163.57,8.6,22.5,143.32,0.06,6.05,0
3.75,-0.8,2.73,11.24,184.29,8.5,22.5,144.24,-0.01,6.7,2
3.81,-0.8,2.77,11.2,195.73,8.4,22.5,143.35,0.03,7.26,2
3.85,-0.8,2.74,11.24,194.01,8.5,22.5,143.64,-0.04,7.24,2
3.88,-0.79,2.75,11.22,191.7,8.5,22.5,144.16,0.02,7.16,2
3.9,-0.71,2.74,11.31,180.2,8.6,22.5,144.96,-0.07,6.62,2
3.95,-0.63,2.76,11.2,178.68,8.5,22.5,143.1,0.05,6.59,2
3.99,-0.55,2.76,11.31,179.98,8.4,22.5,144.86,-0.02,6.49,2
4.0,-0.5,2.83,11.28,192.8,8.6,22.5,143.6,0.02,6.97,2
3.98,-0.58,2.86,11.35,194.86,8.4,22.5,144.64,-0.03,7.08,2
3.96,-0.68,2.83,11.35,197.38,8.5,22.5,144.8,-0.02,7.29,2
4.02,-0.53,2.7,11.36,192.89,8.6,22.5,145.16,-0.01,6.97,2
4.16,-0.25,2.72,11.36,194.94,8.8,22.5,145.08,0.0,6.83,2
4.4,-0.11,2.96,11.45,197.06,8.5,22.5,145.72,-0.01,7.02,2
4.34,-0.55,3.19,11.41,193.61,8.4,22.5,145.08,-0.02,7.51,2
3.77,-1.43,3.09,11.4,193.91,8.2,22.5,145.04,-0.03,8.02,2
3.43,-1.83,2.64,11.29,181.78,8.5,22.5,144.82,0.07,7.61,0
3.51,-1.55,2.41,11.21,123.48,8.7,22.5,143.0,0.15,5.03,0
3.69,-1.04,2.51,11.45,133.75,8.9,22.5,145.86,-0.04,5.01,0
3.87,-0.64,2.61,11.35,142.09,8.8,22.5,145.06,0.03,5.09,0
3.94,-0.5,2.83,11.37,169.57,8.6,22.5,145.76,-0.01,5.96,2
3.94,-0.5,2.83,11.33,197.62,8.5,22.5,144.34,0.03,7.01,2
3.94,-0.5,2.82,11.34,194.86,8.5,22.5,144.14,-0.01,6.91,2
3.92,-0.56,2.85,11.29,195.04,8.4,22.5,145.58,-0.01,6.91,2
3.92,-0.55,2.78,11.25,197.36,8.4,22.5,144.12,0.02,7.05,2
3.91,-0.52,2.82,11.38,193.72,8.5,22.5,145.24,-0.08,6.82,2
3.9,-0.58,2.87,11.35,198.38,8.5,22.5,144.31,0.04,7.11,2
3.89,-0.66,2.86,11.4,192.75,8.5,22.5,145.02,-0.01,6.96,2
3.87,-0.7,2.78,11.36,198.44,8.4,22.5,144.42,0.02,7.24,2
3.84,-0.71,2.82,11.44,192.61,8.7,22.5,145.92,-0.07,6.91,2
3.83,-0.79,2.8,11.29,197.34,8.4,22.5,144.04,0.08,7.29,2
3.85,-0.8,2.81,11.43,194.64,8.6,22.5,145.16,-0.08,7.19,2
3.89,-0.8,2.74,11.39,194.84,8.7,22.5,145.38,0.0,7.24,2
3.9,-0.8,2.75,11.34,197.88,8.6,22.5,144.7,0.06,7.41,2
3.95,-0.74,2.74,11.37,181.35,8.6,22.5,144.9,-0.05,6.76,2
4.03,-0.66,2.83,11.27,180.22,8.7,22.5,143.56,0.05,6.79,2
3.99,-0.94,2.97,11.37,184.24,8.5,22.5,145.62,-0.06,7.19,2
3.73,-1.53,2.91,11.38,196.4,8.3,22.5,144.18,-0.02,8.27,2
3.65,-1.61,2.52,11.32,175.53,8.7,22.5,144.47,0.02,7.37,0
3.88,-1.16,2.42,11.3,127.61,8.9,22.5,143.72,0.07,5.16,0
4.11,-0.66,2.61,11.44,130.0,9.0,22.5,145.24,-0.04,4.92,0
4.17,-0.6,2.81,11.32,189.12,8.5,22.5,144.28,0.06,7.21,2
4.18,-0.69,2.85,11.47,195.73,8.6,22.5,145.36,-0.1,7.57,2
4.21,-0.84,2.87,11.34,195.88,8.6,22.5,144.63,0.02,7.89,2
4.23,-0.92,2.74,11.4,191.54,8.5,25.08,152.59,-0.02,7.45,2
4.23,-0.94,2.73,11.5,198.04,8.7,35.4,188.1,-0.12,6.27,0
4.24,-0.94,2.69,11.5,194.12,8.9,35.4,187.72,-0.09,6.17,0
4.25,-0.9,2.68,11.5,197.38,8.8,35.4,187.94,-0.07,6.23,0
4.26,-0.9,2.68,11.5,194.24,8.8,35.4,186.32,-0.05,6.2,0
4.27,-0.9,2.7,11.5,197.07,8.8,35.4,185.88,-0.02,6.32,0
4.29,-0.9,2.71,11.5,195.04,8.8,35.4,188.0,-0.03,6.21,0
4.35,-0.86,2.66,11.51,196.22,8.8,35.4,186.14,-0.08,6.34,0
4.48,-0.61,2.64,11.64,197.3,9.1,35.4,189.28,-0.19,6.12,0
4.64,-0.45,2.78,11.7,193.7,9.1,35.4,189.88,-0.25,5.99,0
4.58,-0.76,3.03,11.68,197.59,8.8,35.4,190.9,-0.2,6.37,0
4.15,-1.47,2.97,11.56,193.97,8.5,35.4,189.65,-0.06,6.63,0
3.84,-1.88,2.62,11.5,196.4,8.7,35.4,187.5,0.01,6.9,0
3.83,-1.73,2.45,11.56,142.24,8.9,35.4,189.28,-0.07,4.82,0
3.98,-1.33,2.4,11.67,141.29,9.1,35.4,189.82,-0.13,4.55,0
4.06,-1.0,2.59,11.71,164.68,9.3,35.4,191.66,-0.17,5.02,0
4.05,-1.0,2.66,11.73,198.79,9.0,35.4,191.82,-0.21,6.04,0
4.08,-0.99,2.71,11.8,193.0,9.1,35.4,191.66,-0.23,5.89,0
4.09,-0.9,2.65,11.8,197.08,9.2,35.4,192.46,-0.21,5.89,0
4.09,-0.9,2.66,11.8,192.63,9.1,35.4,191.98,-0.2,5.77,0
4.14,-0.72,2.63,11.8,180.36,9.2,35.4,193.22,-0.22,5.22,0
4.14,-0.69,2.72,11.8,194.04,9.1,35.4,192.38,-0.2,5.62,0
4.13,-0.61,2.71,11.78,191.6,9.0,35.4,192.24,-0.15,5.45,0
4.11,-0.51,2.78,11.7,196.88,9.0,34.64,189.16,-0.15,5.54,0
4.1,-0.46,2.75,11.63,195.03,8.9,22.5,148.08,-0.13,6.92,2
4.11,-0.37,2.8,11.68,197.74,8.9,22.5,148.7,-0.14,6.87,2
4.18,-0.3,2.85,11.67,193.23,8.9,22.5,148.16,-0.13,6.73,2
4.15,-0.5,2.96,11.62,211.25,8.7,22.5,147.0,-0.13,7.71,2
3.68,-1.53,2.9,11.5,195.67,8.5,22.5,146.62,-0.1,8.01,2
3.51,-1.75,2.6,11.47,171.13,8.7,22.5,145.94,0.01,7.11,0
3.66,-1.34,2.42,11.52,131.19,9.0,22.5,146.54,-0.05,5.17,0
3.91,-0.85,2.53,11.6,130.9,9.0,22.5,147.68,-0.08,4.86,0
4.06,-0.6,2.77,11.6,147.89,8.9,22.5,147.68,-0.06,5.38,0
4.08,-0.6,2.78,11.6,191.8,8.9,22.5,147.94,-0.06,6.99,2
4.12,-0.52,2.78,11.6,185.45,8.8,22.5,147.86,-0.04,6.7,2
4.14,-0.47,2.81,11.6,197.21,8.8,22.5,147.67,-0.06,7.09,2
4.17,-0.51,2.87,11.6,193.78,8.8,22.5,147.44,-0.11,7.09,2
4.14,-0.74,2.96,11.6,197.66,8.7,22.5,147.66,-0.09,7.53,2
3.99,-1.11,2.91,11.56,193.48,8.6,22.5,146.56,-0.05,7.76,2
3.87,-1.33,2.69,11.53,199.21,8.8,22.5,145.72,-0.04,8.19,0
4.02,-1.07,2.47,11.43,147.12,8.8,22.5,144.96,0.01,5.96,0
4.24,-0.68,2.63,11.5,142.09,9.0,22.5,146.6,-0.01,5.5,0
4.34,-0.6,2.83,11.53,171.8,8.7,22.5,146.44,-0.04,6.68,2
4.38,-0.71,2.85,11.59,197.0,8.8,22.5,147.2,-0.07,7.85,2
4.42,-0.84,2.83,11.6,194.56,8.7,22.5,146.9,-0.09,8.02,2
4.46,-0.96,2.77,11.61,195.99,8.8,22.99,148.46,-0.12,8.24,2
4.5,-1.0,2.66,11.7,194.0,9.2,37.05,196.96,-0.16,6.24,0
4.53,-1.0,2.66,11.7,197.22,8.9,37.1,196.68,-0.16,6.4,0
4.63,-0.93,2.62,11.7,194.61,9.1,37.1,197.36,-0.16,6.31,0
4.77,-0.81,2.62,11.73,197.14,9.0,37.1,196.96,-0.21,6.44,0
4.98,-0.58,2.61,11.8,192.83,9.1,37.1,197.76,-0.21,6.25,0
5.22,-0.3,2.66,11.83,197.85,9.1,37.1,198.14,-0.24,6.35,0
5.49,-0.05,2.8,11.88,192.68,9.1,37.1,198.76,-0.26,6.19,0
5.52,-0.37,3.04,11.8,198.37,8.9,37.1,198.22,-0.17,6.8,0
5.19,-1.03,2.98,11.68,193.36,8.8,37.1,195.53,-0.04,7.09,0
4.82,-1.53,2.79,11.6,162.12,8.6,37.1,194.7,0.05,6.09,0
4.53,-1.7,2.63,11.63,141.0,9.1,37.1,194.08,-0.05,5.22,0
4.62,-1.53,2.43,11.52,141.53,8.9,37.1,192.72,0.03,5.2,0
4.88,-1.05,2.42,11.66,141.72,9.3,37.1,197.3,-0.12,4.91,0
5.19,-0.45,2.54,11.76,150.43,9.3,37.1,197.22,-0.24,4.96,1
5.44,-0.22,2.76,11.8,191.11,9.0,37.1,198.39,-0.29,6.28,0
5.58,-0.38,2.98,11.71,195.98,8.9,37.1,198.08,-0.21,6.8,0
5.44,-0.86,2.92,11.62,193.21,8.7,37.1,195.96,-0.1,7.16,0
5.25,-1.04,2.79,11.45,136.83,8.6,37.1,192.98,0.03,5.15,0
5.0,-1.18,2.76,11.5,134.81,8.7,37.1,194.96,-0.06,4.93,0
4.67,-1.54,2.83,11.44,135.49,8.5,37.1,192.92,0.03,5.03,0
4.33,-1.72,2.57,11.49,129.65,8.7,37.1,192.76,-0.01,4.69,0
4.24,-1.59,2.47,11.49,138.64,8.8,37.1,192.16,0.02,4.85,0
4.38,-1.2,2.43,11.52,137.44,9.0,37.1,194.16,-0.05,4.56,0
4.54,-0.78,2.63,11.6,151.61,9.2,37.1,196.86,-0.11,4.72,0
4.5,-0.93,2.81,11.51,193.35,8.7,37.1,194.5,-0.07,6.23,0
4.33,-1.27,2.88,11.42,181.49,8.6,37.1,191.61,0.0,6.12,0
3.97,-1.69,2.78,11.5,155.1,8.7,37.1,192.52,-0.06,5.26,0
3.78,-1.85,2.49,11.59,181.3,8.8,37.1,194.42,-0.2,6.06,0
3.97,-1.38,2.32,11.74,136.09,9.4,37.1,196.02,-0.26,4.28,0
4.2,-0.75,2.43,11.82,137.29,9.5,37.1,197.48,-0.36,3.97,1
4.27,-0.6,2.7,11.9,211.37,9.3,37.1,198.46,-0.4,5.97,0
4.29,-0.6,2.71,11.9,216.03,9.3,37.1,199.78,-0.4,6.1,0
4.29,-0.6,2.74,11.84,212.11,9.1,37.1,198.26,-0.38,6.03,0
4.28,-0.6,2.72,11.8,216.25,9.0,37.1,197.8,-0.35,6.15,0
4.29,-0.61,2.78,11.8,215.87,9.1,37.1,195.74,-0.31,6.22,0
4.27,-0.72,2.79,11.73,218.58,9.0,37.1,197.18,-0.29,6.38,0
4.23,-0.81,2.72,11.7,214.28,9.0,37.1,196.92,-0.29,6.32,0
4.21,-0.9,2.74,11.7,205.19,9.0,37.1,196.16,-0.25,6.17,0
4.18,-0.96,2.75,11.69,208.4,8.9,37.1,195.65,-0.22,6.31,0
4.14,-1.13,2.76,11.7,205.57,8.8,37.1,195.12,-0.16,6.4,0
4.09,-1.31,2.7,11.68,206.62,9.0,37.1,194.96,-0.21,6.6,0
4.09,-1.29,2.53,11.61,181.15,8.9,37.1,195.38,-0.19,5.74,0
4.09,-1.25,2.68,11.7,160.57,9.2,37.1,195.98,-0.15,5.04,0
4.02,-1.35,2.66,11.7,191.55,9.1,37.1,196.48,-0.18,6.03,0
4.07,-1.15,2.55,11.7,158.43,9.2,37.1,196.78,-0.21,4.84,0
4.06,-1.13,2.72,11.7,189.52,9.0,37.1,195.9,-0.24,5.78,0
4.0,-1.3,2.7,11.7,210.01,8.9,37.1,196.64,-0.24,6.52,0
3.9,-1.48,2.64,11.7,205.23,8.9,37.1,197.08,-0.19,6.46,0
4.0,-1.31,2.49,11.8,157.02,9.1,37.1,197.66,-0.21,4.87,0
4.14,-0.95,2.49,11.84,160.03,9.4,37.1,198.64,-0.25,4.73,0
4.18,-0.81,2.72,11.9,205.2,9.1,37.1,198.06,-0.33,5.97,0
4.23,-0.79,2.63,11.9,206.57,9.2,37.1,199.42,-0.38,5.99,0
4.26,-0.76,2.71,11.9,207.63,9.3,37.1,200.69,-0.39,5.99,0
4.29,-0.7,2.67,11.9,206.32,9.2,37.1,200.36,-0.39,5.92,0
4.31,-0.7,2.7,11.9,205.34,9.1,37.1,200.7,-0.32,5.91,0
4.33,-0.7,2.71,11.9,210.45,9.2,37.1,199.36,-0.33,6.12,0
4.35,-0.7,2.7,11.9,205.68,9.2,37.1,199.57,-0.28,6.0,0
4.37,-0.7,2.7,11.9,208.55,9.2,37.1,198.48,-0.26,6.14,0
4.4,-0.7,2.69,11.82,206.91,9.3,37.1,198.39,-0.25,6.13,0
4.39,-0.78,2.8,11.8,205.47,9.0,37.1,200.44,-0.23,6.12,0
4.3,-1.06,2.77,11.8,206.21,9.0,37.1,198.8,-0.21,6.41,0
4.21,-1.25,2.65,11.76,208.29,9.1,37.1,197.14,-0.22,6.64,0
4.28,-0.99,2.49,11.77,159.4,9.3,37.1,195.96,-0.22,4.94,0
4.35,-0.73,2.68,11.8,171.6,9.2,37.1,197.8,-0.23,5.08,0
4.34,-0.76,2.78,11.8,193.13,9.1,37.1,197.74,-0.23,5.74,0
4.27,-0.97,2.78,11.72,218.05,9.0,37.1,197.5,-0.18,6.67,0
4.22,-1.21,2.74,11.7,211.39,8.9,37.1,195.56,-0.15,6.76,0
4.13,-1.44,2.67,11.7,215.14,9.0,37.1,195.3,-0.13,7.08,0
4.12,-1.45,2.54,11.71,168.22,9.2,37.1,197.72,-0.16,5.47,0
4.23,-1.18,2.48,11.8,160.19,9.2,37.1,197.06,-0.2,5.07,0
4.42,-0.78,2.5,11.83,163.85,9.2,37.1,198.5,-0.3,4.95,0
4.54,-0.5,2.65,11.9,189.38,9.4,37.1,199.0,-0.32,5.53,0
4.58,-0.5,2.77,11.9,217.16,9.2,37.1,198.86,-0.26,6.4,0
4.64,-0.44,2.72,11.9,214.37,9.1,37.1,198.9,-0.27,6.32,0
4.72,-0.38,2.72,11.9,217.03,9.1,37.1,198.18,-0.25,6.43,0
4.8,-0.3,2.76,11.89,217.17,9.1,37.1,201.36,-0.23,6.34,0
4.81,-0.39,2.92,11.8,212.58,8.9,37.1,198.48,-0.11,6.42,0
4.63,-0.76,2.93,11.8,208.37,8.9,37.1,198.28,-0.09,6.53,0
4.46,-1.2,2.82,11.69,215.66,8.8,37.1,197.14,-0.01,7.14,0
4.28,-1.51,2.65,11.68,190.73,8.8,37.1,195.8,0.02,6.51,0
4.24,-1.45,2.54,11.65,160.57,9.2,37.1,196.2,0.02,5.37,0
4.34,-1.26,2.52,11.81,162.56,9.1,37.1,196.34,-0.05,5.35,0
4.43,-1.1,2.61,11.87,171.15,9.4,37.1,199.62,-0.11,5.47,0
4.44,-1.17,2.71,11.62,169.75,9.0,37.1,196.24,0.09,5.59,0
4.44,-1.1,2.57,11.66,169.38,8.9,37.1,195.84,-0.05,5.52,0
4.52,-0.86,2.53,11.7,165.77,9.3,37.1,196.88,-0.13,5.23,0
4.56,-0.72,2.69,11.75,174.54,9.1,37.1,197.22,-0.14,5.38,0
4.53,-0.86,2.78,11.83,214.15,9.0,37.1,198.66,-0.17,6.69,0
4.45,-1.05,2.79,12.02,209.02,9.2,37.1,201.8,-0.34,6.57,0
4.47,-1.13,2.69,11.91,188.66,9.4,37.1,200.74,-0.03,6.07,0
4.51,-1.15,2.67,11.7,188.29,9.0,37.1,196.56,0.03,6.24,0
4.52,-1.2,2.63,11.7,181.31,9.0,37.1,196.96,-0.07,6.07,0
4.52,-1.2,2.6,11.6,170.91,9.2,37.1,195.47,0.01,5.77,0
4.54,-1.19,2.62,11.6,170.16,9.1,37.1,195.56,-0.04,5.75,0
4.55,-1.15,2.65,11.54,171.73,9.0,37.1,194.12,-0.02,5.81,0
4.56,-1.11,2.67,11.5,170.7,8.8,37.1,193.7,-0.02,5.76,0
4.55,-1.17,2.65,11.5,170.17,8.8,37.1,194.53,-0.04,5.77,0
4.53,-1.2,2.67,11.6,171.64,8.9,37.1,195.2,-0.03,5.81,0
4.5,-1.2,2.65,11.63,170.84,8.9,37.1,194.2,-0.11,5.78,0
4.48,-1.21,2.61,11.72,171.0,9.0,37.1,196.7,-0.19,5.71,0
4.47,-1.25,2.66,11.85,171.48,9.2,37.1,198.8,-0.29,5.69,0
4.48,-1.3,2.68,11.62,169.44,9.2,37.1,195.59,0.05,5.77,0
4.48,-1.3,2.66,11.5,171.33,8.9,37.1,193.24,0.05,5.91,0
4.5,-1.3,2.63,11.5,170.6,8.9,37.1,192.56,-0.02,5.92,0
4.5,-1.3,2.63,11.5,169.84,8.9,37.1,193.6,-0.05,5.87,0
4.49,-1.3,2.63,11.5,171.08,8.9,37.1,193.12,-0.06,5.91,0
4.46,-1.3,2.64,11.5,171.17,8.7,37.1,193.7,-0.08,5.87,0
4.5,-1.3,2.63,11.58,170.1,8.8,37.1,194.9,-0.14,5.83,0
4.58,-1.25,2.54,11.6,170.03,9.1,37.1,195.06,-0.16,5.86,0
4.62,-1.16,2.61,11.6,170.12,9.1,37.1,194.74,-0.2,5.82,0
4.64,-1.13,2.67,11.6,171.84,8.9,37.1,195.76,-0.22,5.84,0
4.62,-1.26,2.7,11.66,172.0,8.9,37.1,195.16,-0.2,5.97,0
4.53,-1.31,2.6,11.7,163.34,9.0,37.1,196.16,-0.25,5.6,0
4.54,-1.15,2.55,11.7,154.45,9.0,37.1,196.2,-0.28,5.17,0
4.59,-1.06,2.69,11.7,152.69,9.0,37.1,196.82,-0.24,5.06,0
4.6,-0.95,2.6,11.64,167.46,9.1,37.1,196.04,-0.19,5.47,0
4.64,-0.9,2.68,11.6,172.29,8.9,37.1,195.63,-0.17,5.63,0
4.58,-0.99,2.77,11.54,172.32,8.8,37.1,195.3,-0.08,5.67,0
4.39,-1.23,2.8,11.5,172.78,8.7,37.1,194.27,-0.03,5.76,0
4.22,-1.38,2.68,11.55,172.82,8.7,37.1,193.86,-0.07,5.76,0
4.21,-1.41,2.59,11.53,171.05,8.9,37.1,194.52,-0.03,5.7,0
4.25,-1.3,2.6,11.5,171.62,8.9,37.1,192.84,0.01,5.7,0
4.27,-1.28,2.6,11.5,171.79,8.9,37.1,193.1,-0.01,5.69,0
4.3,-1.2,2.62,11.5,170.41,9.0,37.1,192.06,-0.03,5.63,0
4.26,-1.27,2.75,11.5,171.73,8.9,37.1,194.9,0.0,5.62,0
4.16,-1.47,2.77,11.55,171.39,8.7,37.1,194.37,-0.05,5.72,0
3.92,-1.75,2.7,11.53,171.35,8.8,37.1,193.16,-0.01,5.8,0
3.8,-1.83,2.54,11.5,166.0,8.9,37.1,193.63,-0.01,5.56,0
3.82,-1.7,2.54,11.56,158.82,9.0,37.1,193.44,-0.08,5.23,0
3.84,-1.69,2.53,11.6,170.53,9.2,37.1,195.18,-0.08,5.57,0
3.86,-1.56,2.51,11.6,169.67,9.1,37.1,196.69,-0.12,5.38,0
3.89,-1.44,2.57,11.7,169.93,9.1,37.1,195.67,-0.16,5.34,0
3.92,-1.31,2.6,11.73,172.7,9.0,37.1,196.26,-0.17,5.31,0
4.01,-1.11,2.5,11.8,170.48,9.1,37.1,198.24,-0.18,5.08,0
4.12,-0.76,2.55,11.81,171.27,9.3,37.1,199.04,-0.19,4.84,0
4.13,-0.7,2.74,11.9,217.11,9.1,37.1,197.06,-0.17,6.13,0
4.12,-0.7,2.76,11.9,218.53,9.2,37.1,199.18,-0.15,6.09,0
4.08,-0.8,2.74,11.83,217.94,9.2,37.1,198.69,-0.11,6.17,0
4.03,-0.89,2.73,11.7,216.33,9.0,37.1,195.76,0.0,6.28,0
3.97,-1.05,2.78,11.68,217.47,8.9,37.1,196.37,-0.04,6.4,0
3.9,-1.2,2.73,11.6,216.9,8.9,37.1,194.76,-0.02,6.54,0
3.86,-1.38,2.68,11.6,218.27,8.9,37.1,194.96,-0.02,6.75,0
3.8,-1.5,2.59,11.61,201.58,9.0,37.1,195.16,-0.03,6.31,0
3.86,-1.31,2.47,11.7,171.91,9.2,37.1,195.24,-0.09,5.25,0
3.98,-0.96,2.51,11.73,172.83,9.2,37.1,196.06,-0.17,5.02,0
4.05,-0.8,2.67,11.8,196.35,9.1,37.1,199.48,-0.24,5.5,0
4.08,-0.8,2.7,11.8,217.12,9.2,37.1,197.41,-0.23,6.19,0
4.09,-0.78,2.71,11.8,218.07,9.2,37.1,197.72,-0.24,6.19,0
4.09,-0.78,2.7,11.8,216.73,9.1,37.1,195.84,-0.26,6.22,0
4.1,-0.77,2.7,11.79,217.79,9.1,37.1,197.31,-0.28,6.2,0
4.11,-0.71,2.67,11.73,218.32,9.1,37.1,196.4,-0.28,6.18,0
4.13,-0.7,2.73,11.71,216.16,9.0,37.1,198.4,-0.27,6.07,0
4.12,-0.7,2.71,11.7,217.9,8.9,37.1,197.41,-0.24,6.13,0
4.11,-0.7,2.73,11.7,216.54,9.1,37.1,197.0,-0.19,6.1,0
4.08,-0.78,2.77,11.7,217.67,9.0,37.1,195.92,-0.14,6.22,0
4.02,-0.91,2.75,11.62,218.16,8.8,37.1,195.08,-0.12,6.35,0
3.94,-1.04,2.69,11.6,217.37,8.8,37.1,194.12,-0.11,6.43,0
3.86,-1.17,2.71,11.6,216.88,9.0,37.1,194.54,-0.08,6.46,0
3.81,-1.3,2.72,11.59,218.77,8.9,37.1,194.41,-0.07,6.64,0
3.78,-1.5,2.65,11.6,216.73,9.0,37.1,194.0,-0.03,6.8,0
3.81,-1.42,2.48,11.6,183.86,9.1,37.1,193.88,-0.08,5.71,0
3.92,-1.09,2.54,11.69,172.38,9.2,37.1,197.22,-0.17,5.05,0
4.04,-0.82,2.61,11.71,192.78,9.2,37.1,196.45,-0.22,5.51,0
4.06,-0.8,2.68,11.8,217.4,9.1,37.1,197.66,-0.26,6.17,0
