Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.78,-0.36,2.76,11.6,218.14,8.8,22.5,148.18,-2.18,7.01,2
3.83,-0.3,2.81,11.6,212.16,8.8,22.5,147.55,-2.18,6.85,2
3.83,-0.3,2.83,11.6,218.64,8.8,22.5,147.66,-2.16,7.05,2
3.84,-0.22,2.83,11.54,208.49,8.7,22.5,147.0,-2.16,6.64,2
3.86,-0.2,2.84,11.5,211.94,8.6,22.5,146.64,-2.14,6.76,2
3.85,-0.2,2.84,11.5,220.17,8.7,22.5,146.0,-2.12,7.05,2
3.86,-0.2,2.84,11.54,217.66,8.7,22.5,146.28,-2.11,6.96,2
3.84,-0.2,2.86,11.67,219.17,8.8,22.5,147.66,-2.09,6.91,2
3.82,-0.24,2.84,11.64,218.74,8.8,22.5,148.02,-2.12,6.91,2
3.8,-0.3,2.85,11.62,218.16,8.9,22.5,148.18,-2.16,6.96,2
3.77,-0.3,2.84,11.7,218.54,8.9,22.5,149.06,-2.21,6.88,2
3.74,-0.31,2.87,11.7,219.85,8.8,22.5,148.24,-2.22,6.94,2
3.72,-0.39,2.87,11.7,217.78,8.8,22.5,147.62,-2.21,6.98,2
3.69,-0.4,2.84,11.7,218.54,8.9,22.5,147.62,-2.19,6.98,2
3.65,-0.49,2.84,11.7,219.1,8.8,22.5,148.32,-2.14,7.05,2
3.61,-0.6,2.87,11.62,218.39,8.8,22.5,147.96,-2.07,7.16,2
3.54,-0.77,2.88,11.54,216.47,8.8,22.5,147.14,-1.96,7.3,2
3.45,-1.02,2.88,11.6,218.05,8.6,22.5,147.24,-2.02,7.64,2
3.4,-1.17,2.71,11.55,218.29,8.9,22.5,147.2,-2.06,7.82,2
3.37,-1.26,2.63,11.6,200.27,8.9,22.5,146.22,-2.11,7.3,2
3.43,-1.13,2.63,11.57,174.08,9.0,22.5,146.3,-2.15,6.25,2
3.49,-0.97,2.61,11.61,172.85,8.9,22.5,147.94,-2.27,6.0,2
3.57,-0.73,2.65,11.6,174.35,8.9,22.5,147.73,-2.29,5.85,2
3.66,-0.54,2.69,11.63,175.12,9.0,22.5,148.26,-2.32,5.72,2
3.68,-0.42,2.84,11.7,198.2,9.0,22.5,148.44,-2.42,6.31,2
3.63,-0.56,2.87,11.71,219.08,8.8,22.5,149.12,-2.46,7.1,2
3.59,-0.6,2.78,11.8,219.07,9.0,22.5,149.2,-2.48,7.09,2
3.55,-0.61,2.8,11.8,217.94,9.1,22.5,149.54,-2.41,6.98,2
3.5,-0.78,2.92,11.8,219.15,9.0,22.5,150.3,-2.42,7.2,2
3.44,-0.91,2.77,11.78,217.82,8.8,22.5,150.49,-2.32,7.25,2
3.45,-0.9,2.71,11.73,214.62,9.0,22.5,149.2,-2.28,7.21,2
3.48,-0.94,2.71,11.76,218.82,9.1,22.5,149.14,-2.18,7.48,2
